0	0	15	0	21	2	17	90	8	16
0	0	0	12	12	0	9	0	0	0
15	0	0	0	17	5	15	30	22	0
0	12	0	0	0	16	0	0	0	36
21	12	17	0	0	7	16	15	0	0
2	0	5	16	7	0	0	0	9	0
17	9	15	0	16	0	0	12	0	21
90	0	30	0	15	0	12	0	0	14
8	0	22	0	0	9	0	0	0	0
16	0	0	36	0	0	21	14	0	0
Psychology
1	450
2	420
3	340
1	120
2	490
3	560
5	210
3	380
2	700
History
1	400
1	400
1	340
4	120
3	400
4 	460
5	610
6	680
5	800
Engineering
2	150
2	150
2	150
2	150
2	150
3 	360
3	360
4	580
4	300
Sociology
2	150
2	150
2	150
2	150
2	150
3	350
Biology
1	150
3	270
4	300
5	450
5	150
6	800
